zip,county,state
80001,JEFFERSON,CO
80002,JEFFERSON,CO
80003,JEFFERSON,CO
80003,JEFFERSON,CO
80004,JEFFERSON,CO
80005,JEFFERSON,CO
80005,JEFFERSON,CO
80006,JEFFERSON,CO
80007,JEFFERSON,CO
80010,ARAPAHOE,CO
80011,ARAPAHOE,CO
80011,ARAPAHOE,CO
80011,ARAPAHOE,CO
80011,ARAPAHOE,CO
80011,ARAPAHOE,CO
80012,ARAPAHOE,CO
80012,ARAPAHOE,CO
80013,ARAPAHOE,CO
80014,ARAPAHOE,CO
80014,ARAPAHOE,CO
80015,ARAPAHOE,CO
80015,ARAPAHOE,CO
80016,ARAPAHOE,CO
80016,ARAPAHOE,CO
80016,ARAPAHOE,CO
80017,ARAPAHOE,CO
80018,ARAPAHOE,CO
80019,ADAMS,CO
80020,BROOMFIELD,CO
80020,BROOMFIELD,CO
80021,JEFFERSON,CO
80021,JEFFERSON,CO
80022,ADAMS,CO
80022,ADAMS,CO
80022,ADAMS,CO
80023,BROOMFIELD,CO
80023,BROOMFIELD,CO
80023,BROOMFIELD,CO
80024,ADAMS,CO
80025,BOULDER,CO
80025,BOULDER,CO
80026,BOULDER,CO
80026,BOULDER,CO
80027,BOULDER,CO
80027,BOULDER,CO
80030,ADAMS,CO
80031,ADAMS,CO
80033,JEFFERSON,CO
80033,JEFFERSON,CO
80034,JEFFERSON,CO
80035,ADAMS,CO
80036,ADAMS,CO
80037,ADAMS,CO
80038,BROOMFIELD,CO
80040,ADAMS,CO
80041,ARAPAHOE,CO
80042,ADAMS,CO
80044,ARAPAHOE,CO
80045,ADAMS,CO
80046,ARAPAHOE,CO
80047,ARAPAHOE,CO
80101,ELBERT,CO
80102,ADAMS,CO
80103,ARAPAHOE,CO
80104,DOUGLAS,CO
80105,ARAPAHOE,CO
80106,EL PASO,CO
80106,EL PASO,CO
80107,ELBERT,CO
80108,DOUGLAS,CO
80108,DOUGLAS,CO
80109,DOUGLAS,CO
80110,ARAPAHOE,CO
80110,ARAPAHOE,CO
80110,ARAPAHOE,CO
80110,ARAPAHOE,CO
80110,ARAPAHOE,CO
80110,ARAPAHOE,CO
80110,ARAPAHOE,CO
80111,ARAPAHOE,CO
80111,ARAPAHOE,CO
80111,ARAPAHOE,CO
80111,ARAPAHOE,CO
80111,ARAPAHOE,CO
80111,ARAPAHOE,CO
80111,ARAPAHOE,CO
80112,ARAPAHOE,CO
80112,ARAPAHOE,CO
80112,ARAPAHOE,CO
