zip,county,state
82001,LARAMIE,WY
82001,LARAMIE,WY
82002,LARAMIE,WY
82002,LARAMIE,WY
82003,LARAMIE,WY
82005,LARAMIE,WY
82005,LARAMIE,WY
82006,LARAMIE,WY
82006,LARAMIE,WY
82007,LARAMIE,WY
82009,LARAMIE,WY
82009,LARAMIE,WY
82009,LARAMIE,WY
82010,LARAMIE,WY
82010,LARAMIE,WY
82050,LARAMIE,WY
82051,ALBANY,WY
82051,ALBANY,WY
82051,ALBANY,WY
82052,ALBANY,WY
82053,LARAMIE,WY
82053,LARAMIE,WY
82054,LARAMIE,WY
82055,ALBANY,WY
82058,ALBANY,WY
82058,ALBANY,WY
82059,LARAMIE,WY
82059,LARAMIE,WY
82059,LARAMIE,WY
82060,LARAMIE,WY
82061,LARAMIE,WY
82063,ALBANY,WY
82063,ALBANY,WY
82063,ALBANY,WY
82070,ALBANY,WY
82070,ALBANY,WY
82070,ALBANY,WY
82070,ALBANY,WY
82071,ALBANY,WY
82071,ALBANY,WY
82071,ALBANY,WY
82072,ALBANY,WY
82072,ALBANY,WY
82072,ALBANY,WY
82072,ALBANY,WY
82072,ALBANY,WY
82073,ALBANY,WY
82081,LARAMIE,WY
82082,LARAMIE,WY
82083,ALBANY,WY
82083,ALBANY,WY
82083,ALBANY,WY
82084,ALBANY,WY
82190,PARK,WY
82190,PARK,WY
82190,PARK,WY
82190,PARK,WY
82201,PLATTE,WY
82201,PLATTE,WY
82201,PLATTE,WY
82201,PLATTE,WY
82210,PLATTE,WY
82210,PLATTE,WY
82212,GOSHEN,WY
82213,PLATTE,WY
82214,PLATTE,WY
82215,PLATTE,WY
82215,PLATTE,WY
82217,GOSHEN,WY
82218,GOSHEN,WY
82219,GOSHEN,WY
82221,GOSHEN,WY
82222,NIOBRARA,WY
82223,GOSHEN,WY
82223,GOSHEN,WY
82224,CONVERSE,WY
82225,NIOBRARA,WY
82225,NIOBRARA,WY
82225,NIOBRARA,WY
82227,NIOBRARA,WY
82227,NIOBRARA,WY
82229,CONVERSE,WY
82240,GOSHEN,WY
82240,GOSHEN,WY
82240,GOSHEN,WY
82242,NIOBRARA,WY
82243,GOSHEN,WY
82244,GOSHEN,WY
82301,CARBON,WY
82301,CARBON,WY
82301,CARBON,WY
82301,CARBON,WY
82301,CARBON,WY
82310,FREMONT,WY
82310,FREMONT,WY
82321,CARBON,WY
82322,SWEETWATER,WY
82322,SWEETWATER,WY
82323,CARBON,WY
82324,CARBON,WY
82325,CARBON,WY
82325,CARBON,WY
82327,CARBON,WY
82327,CARBON,WY
82327,CARBON,WY
82327,CARBON,WY
82329,CARBON,WY
82331,CARBON,WY
82331,CARBON,WY
82332,CARBON,WY
82334,CARBON,WY
82335,CARBON,WY
82336,SWEETWATER,WY
82336,SWEETWATER,WY
82336,SWEETWATER,WY
82401,WASHAKIE,WY
82410,BIG HORN,WY
82411,BIG HORN,WY
82412,BIG HORN,WY
82414,PARK,WY
82420,BIG HORN,WY
82421,BIG HORN,WY
82422,BIG HORN,WY
82423,PARK,WY
82426,BIG HORN,WY
82428,BIG HORN,WY
82430,HOT SPRINGS,WY
82430,HOT SPRINGS,WY
82431,BIG HORN,WY
82432,BIG HORN,WY
82433,PARK,WY
82434,BIG HORN,WY
82435,PARK,WY
82435,PARK,WY
82435,PARK,WY
82435,PARK,WY
82435,PARK,WY
82435,PARK,WY
82440,PARK,WY
82441,BIG HORN,WY
82442,WASHAKIE,WY
82443,HOT SPRINGS,WY
82443,HOT SPRINGS,WY
82443,HOT SPRINGS,WY
82450,PARK,WY
82501,FREMONT,WY
82501,FREMONT,WY
82501,FREMONT,WY
82501,FREMONT,WY
82501,FREMONT,WY
82501,FREMONT,WY
82510,FREMONT,WY
82512,FREMONT,WY
82512,FREMONT,WY
82513,FREMONT,WY
82514,FREMONT,WY
82515,FREMONT,WY
82516,FREMONT,WY
82520,FREMONT,WY
82520,FREMONT,WY
82520,FREMONT,WY
